Timestamp_Unix,Timestamp_Ms,Signal_Raw,Intent_Label,Label_Class
1771771428.024564028,264107.090,466.2081,REST,0
1771771428.033549070,264116.075,474.5454,REST,0
1771771428.037433147,264119.959,483.9552,REST,0
1771771428.045082808,264127.609,503.1526,REST,0
1771771428.048897982,264131.424,514.6998,REST,0
1771771428.057843924,264140.370,557.8688,REST,0
1771771428.061731100,264144.257,542.4604,REST,0
1771771428.069432974,264151.960,496.2004,REST,0
1771771428.074599028,264157.125,512.1433,REST,0
1771771428.082188129,264164.714,516.5033,REST,0
1771771428.086002827,264168.529,490.8450,REST,0
1771771428.094950914,264177.477,493.3117,REST,0
1771771428.098842144,264181.368,508.3992,REST,0
1771771428.106503963,264189.030,535.4253,REST,0
1771771428.110381126,264192.907,502.5805,REST,0
1771771428.119321108,264201.847,487.9162,REST,0
1771771428.123304844,264205.832,473.4829,REST,0
1771771428.130823851,264213.350,446.5064,REST,0
1771771428.135972023,264218.498,473.0138,REST,0
1771771428.143685818,264226.212,454.7688,REST,0
1771771428.147701025,264230.227,431.1390,REST,0
1771771428.155345917,264237.872,434.4571,REST,0
1771771428.160503149,264243.029,437.6279,REST,0
1771771428.168207169,264250.733,452.8724,REST,0
1771771428.172083855,264254.610,489.6005,REST,0
1771771428.181008816,264263.535,507.8757,REST,0
1771771428.184829950,264267.356,494.4155,REST,0
1771771428.192485809,264275.012,487.6002,REST,0
1771771428.196367025,264278.893,510.2720,REST,0
1771771428.205357075,264287.883,512.4437,REST,0
1771771428.209245920,264291.772,498.7405,REST,0
1771771428.216911077,264299.438,536.6712,REST,0
1771771428.221995115,264304.521,520.4812,REST,0
1771771428.229454994,264311.981,433.1400,REST,0
1771771428.233341932,264315.868,381.1168,REST,0
1771771428.242125034,264324.651,305.3360,REST,0
1771771428.245974064,264328.500,285.2944,REST,0
1771771428.253616095,264336.142,283.7626,REST,0
1771771428.258735180,264341.261,307.3921,REST,0
1771771428.266450882,264348.977,318.7561,REST,0
1771771428.270341158,264352.867,363.1188,REST,0
1771771428.279332161,264361.858,404.8106,REST,0
1771771428.283173800,264365.700,424.8515,REST,0
1771771428.290785074,264373.311,466.2430,REST,0
1771771428.294638157,264377.164,475.5822,REST,0
1771771428.303613901,264386.140,461.0795,REST,0
1771771428.307505846,264390.032,473.6852,REST,0
1771771428.315221071,264397.747,498.2819,REST,0
1771771428.320297003,264402.823,505.2243,REST,0
1771771428.327951908,264410.478,507.1032,REST,0
1771771428.331844091,264414.370,484.0499,REST,0
1771771428.340859890,264423.386,489.1089,REST,0
1771771428.344751120,264427.277,509.3126,REST,0
1771771428.352506161,264435.032,539.2313,REST,0
1771771428.356325865,264438.852,547.4203,REST,0
1771771428.365231037,264447.757,537.7064,REST,0
1771771428.369121075,264451.647,499.8629,REST,0
1771771428.376716137,264459.242,496.0801,REST,0
1771771428.381893158,264464.419,508.1610,REST,0
1771771428.389509916,264472.036,471.3191,REST,0
1771771428.393332005,264475.858,501.6400,REST,0
1771771428.402059078,264484.585,491.5466,REST,0
